experiment_name,run_name,dataset_name,run_number,parameter_type,parameter_index,true_value,estimated_value,error,probability,timestamp
root_finding,JenkinsTraub,med_a,1,break_indicator,155,0.00000000,0.02444444,0.02444444,0.02444444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,156,0.00000000,0.00955556,0.00955556,0.00955556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,157,0.00000000,0.00600000,0.00600000,0.00600000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,158,0.00000000,0.00444444,0.00444444,0.00444444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,159,0.00000000,0.00577778,0.00577778,0.00577778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,160,0.00000000,0.00577778,0.00577778,0.00577778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,161,0.00000000,0.00266667,0.00266667,0.00266667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,162,0.00000000,0.00355556,0.00355556,0.00355556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,163,0.00000000,0.00422222,0.00422222,0.00422222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,164,0.00000000,0.00711111,0.00711111,0.00711111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,165,0.00000000,0.00377778,0.00377778,0.00377778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,166,0.00000000,0.00577778,0.00577778,0.00577778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,167,0.00000000,0.00600000,0.00600000,0.00600000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,168,0.00000000,0.00600000,0.00600000,0.00600000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,169,0.00000000,0.01000000,0.01000000,0.01000000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,sigma2,0,1.00000000,6.41879634,5.41879634,0.00000000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,2,beta,0,1.00000000,1.11869974,0.11869974,0.00000000,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,beta,1,7.00000000,6.42857660,0.57142340,0.00000000,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,beta,2,5.00000000,4.62325903,0.37674097,0.00000000,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,beta,3,9.00000000,8.55668838,0.44331162,0.00000000,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,0,0.00000000,0.87311111,0.87311111,0.87311111,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,1,0.00000000,0.14755556,0.14755556,0.14755556,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,2,0.00000000,0.01355556,0.01355556,0.01355556,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,3,0.00000000,0.00666667,0.00666667,0.00666667,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,4,0.00000000,0.00688889,0.00688889,0.00688889,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,5,0.00000000,0.00622222,0.00622222,0.00622222,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,6,0.00000000,0.00422222,0.00422222,0.00422222,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,7,0.00000000,0.00488889,0.00488889,0.00488889,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,8,0.00000000,0.00600000,0.00600000,0.00600000,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,9,0.00000000,0.00333333,0.00333333,0.00333333,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,10,0.00000000,0.00355556,0.00355556,0.00355556,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,11,0.00000000,0.00444444,0.00444444,0.00444444,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,12,0.00000000,0.00444444,0.00444444,0.00444444,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,13,0.00000000,0.00711111,0.00711111,0.00711111,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,14,0.00000000,0.00488889,0.00488889,0.00488889,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,15,0.00000000,0.00911111,0.00911111,0.00911111,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,16,0.00000000,0.01044444,0.01044444,0.01044444,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,17,0.00000000,0.99177778,0.99177778,0.99177778,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,18,0.00000000,0.01800000,0.01800000,0.01800000,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,19,0.00000000,0.02822222,0.02822222,0.02822222,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,20,0.00000000,0.01311111,0.01311111,0.01311111,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,21,0.00000000,0.00800000,0.00800000,0.00800000,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,22,0.00000000,0.00377778,0.00377778,0.00377778,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,23,0.00000000,0.00711111,0.00711111,0.00711111,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,24,0.00000000,0.00600000,0.00600000,0.00600000,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,25,0.00000000,0.00577778,0.00577778,0.00577778,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,26,0.00000000,0.00422222,0.00422222,0.00422222,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,27,0.00000000,0.00444444,0.00444444,0.00444444,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,28,0.00000000,0.00466667,0.00466667,0.00466667,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,29,0.00000000,0.00466667,0.00466667,0.00466667,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,30,0.00000000,0.00355556,0.00355556,0.00355556,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,31,0.00000000,0.00600000,0.00600000,0.00600000,2025-08-19 20:06:09
root_finding,JenkinsTraub,med_a,2,break_indicator,32,0.00000000,0.00777778,0.00777778,0.00777778,2025-08-19 20:06:09
